0	15494774
9	37899132
19	38079700
29	38189532
39	38257748
49	38306832
60	38336244
71	38365068
82	38387700
93	38418596
104	38451624
116	38461984
128	38488728
140	38511060
152	38534200
165	38552604
178	38571256
191	38587000
204	38597552
218	38615572
232	38633064
246	38644828
260	38655660
275	38676956
290	38687684
305	38697928
321	38707068
337	38713576
353	38720440
370	38735420
387	38742252
404	38753524
422	38767116
440	38777484
458	38789660
477	38798628
496	38806528
515	38816500
535	38824600
555	38833748
576	38845900
597	38858060
618	38867480
640	38880024
662	38888080
685	38899408
708	38905836
732	38919628
756	38927872
781	38935304
806	38946376
832	38956680
858	38966224
885	38975136
912	38983088
940	38992184
968	39001444
997	39008972
1026	39018252
1056	39026320
1087	39035448
1118	39045144
1150	39056152
1183	39063904
1216	39071012
1250	39078368
1285	39088996
1320	39097924
1356	39107196
1393	39116888
1430	39124436
1468	39129692
1507	39135932
1547	39145468
1587	39152488
1628	39160644
1670	39167780
1713	39174972
1757	39182084
1802	39189864
1848	39197136
1894	39203816
1941	39210936
1989	39218992
2038	39226720
2088	39235280
2139	39244068
2191	39252068
2244	39258700
2298	39267104
2353	39274180
2410	39281020
2468	39288168
2527	39293852
2587	39301524
2648	39309736
2710	39317284
2774	39325784
2839	39334008
2905	39341544
2973	39350148
3042	39358400
3112	39365236
3184	39373292
3257	39380176
3332	39386508
3408	39395100
3486	39403456
3565	39410732
3646	39417424
3728	39424664
3812	39431732
3898	39438336
3985	39444976
4074	39452592
4165	39460036
4258	39467684
4353	39475916
4450	39483564
4549	39489796
4650	39497788
4753	39504440
4858	39511004
4965	39517604
5074	39523564
5185	39530924
5298	39538880
5413	39545988
5531	39553488
5651	39559872
5774	39567020
5899	39573748
6027	39580924
6157	39588152
6290	39595232
6425	39602648
6563	39609820
6704	39616364
6848	39623096
6994	39630624
7143	39637212
7295	39644392
7450	39651832
7609	39659420
7771	39666828
7936	39673576
8104	39680096
8276	39686996
8451	39693696
8630	39699296
8812	39706832
8998	39714072
9187	39721524
9380	39728356
9577	39736124
9778	39743368
9983	39749720
10192	39757288
10405	39764212
10623	39771700
10845	39779396
11071	39787180
11302	39794624
11538	39801720
11778	39808532
12023	39815312
12273	39823780
12528	39830692
12788	39838216
13053	39846024
13324	39852972
13600	39860232
13882	39867480
14169	39875204
14462	39883048
14761	39890340
15066	39897592
15377	39904736
15694	39912900
16017	39920192
16347	39928400
16683	39936948
17026	39945032
17376	39952940
17733	39961456
18097	39969488
18468	39977752
18847	39986060
19233	39994272
19627	40002752
20029	40011504
20439	40020456
20857	40029224
21284	40038752
21719	40047784
22163	40057124
22616	40065632
23078	40074708
23549	40084056
24030	40093592
24520	40103788
25020	40114108
25520	40123392
26020	40132696
26520	40142720
27020	40153152
27520	40162820
28020	40172624
28520	40181976
29020	40191824
29520	40201612
30020	40211572
30520	40221540
31020	40231440
31520	40241236
32020	40250460
32520	40259908
33020	40268792
33520	40278508
34020	40288388
34520	40298156
35020	40308340
35520	40318476
36020	40328576
36520	40338632
37020	40348840
37520	40358720
38020	40369152
38520	40378944
39020	40389088
39520	40400388
40020	40410720
40520	40420912
41020	40431036
41520	40441332
42020	40452868
42520	40463600
43020	40474896
43520	40486444
44020	40497452
44520	40508736
45020	40520008
45520	40531896
46020	40543932
46520	40556540
47020	40568120
47520	40580244
48020	40594016
48520	40606888
49020	40620664
49520	40634740
50020	40649108
50520	40664536
51020	40680776
51520	40695132
52020	40711412
52520	40727796
53020	40744932
53520	40762420
54020	40780040
54520	40797492
55020	40817252
55520	40837884
56020	40858560
56520	40879960
57020	40901236
57520	40925424
58020	40952144
58520	40978156
59020	41003352
59520	41035168
60020	41066240
60520	41101260
61020	41133760
61520	41168512
62020	41208076
62520	41251852
63020	41291988
